count,hate_count,offensive_count,neither,label,tweet
3,1,2,0,Offensive Language,nigga you know we hacky sack hoes nah i throw no look passes lmao
3,1,2,0,Offensive Language,glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
3,0,1,2,Neutral,this isnt ghettoits smart  im doing this idc
3,0,2,1,Offensive Language,i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
3,0,3,0,Offensive Language,being single isnt an excuse to be a hoe
3,1,2,0,Offensive Language,white boy power bitch black power bitch
3,0,3,0,Offensive Language,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
3,0,3,0,Offensive Language,bitch where u been around the world and back where you been
3,0,3,0,Offensive Language,if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off  by
3,0,2,1,Offensive Language,oomf is soooo cute but he probably has hoes on him a lot
3,0,3,0,Offensive Language,in every cartoon theirs alway a  saving these hoes lmao  lmao damn captain saveahoe
3,0,1,2,Neutral,who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs
3,0,3,0,Offensive Language,i wish i was a bitch like my brother keezy  ooooow i bet you do
6,0,6,0,Offensive Language,if you dressed up as a cat for halloween you are basic or a pussy
4,0,4,0,Offensive Language,can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt
3,0,3,0,Offensive Language,stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh
3,0,3,0,Offensive Language,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
6,0,6,0,Offensive Language,oh man its  am you off a molly ho where the fuck ya seed at fixed
3,0,3,0,Offensive Language,youre not a man if you refer to every girl as a bitch
3,0,3,0,Offensive Language,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
3,0,1,2,Neutral,peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
3,0,2,1,Offensive Language,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,Offensive Language,naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne
3,0,3,0,Offensive Language,ol dirty foot ass bitches this was too funny to me
3,0,3,0,Offensive Language,thats where i get my yellow flags for being amazing  hell yeah niggy
3,0,3,0,Offensive Language,dont got time for bitches to be actin iffy
3,0,0,3,Neutral,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
3,0,2,1,Offensive Language,"these hoes aint loyal  no they aint 

smfh amp wonder why nobody decent wants them"
3,0,3,0,Offensive Language,bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
3,0,3,0,Offensive Language,dry pussy bitches always blame it on the condom
3,0,3,0,Offensive Language,shut yo bitch ass up
3,0,3,0,Offensive Language,gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
3,0,3,0,Offensive Language,you love these hoes more then money wats wrong these niggas
6,0,6,0,Offensive Language,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
3,0,3,0,Offensive Language,easy cum easy hoe thats a fact
3,0,3,0,Offensive Language,charlie sheen is too real  major fucking respect for charlie sheen
3,0,3,0,Offensive Language,"wish i had a bae 

you got all the hoes tho"
3,0,3,0,Offensive Language,fuck twerking bitch can you cook
3,0,3,0,Offensive Language,bitch wtf
3,1,2,0,Offensive Language,shut up zoe fight me pussy for zoe im good man you are good maam move along now
3,0,3,0,Offensive Language,lmao fucking snake bitches  em
3,0,3,0,Offensive Language,big booty hoes everywhere sheesh  damn
3,0,0,3,Neutral,stay tuned to  for an update on the report that  b  will be out  weeks  bum
3,0,0,3,Neutral,i play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao
3,0,3,0,Offensive Language,oregon chokes every year get off the field trash ass program rft
3,0,3,0,Offensive Language,def not cowboy lol rt  terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
3,3,0,0,Hate Speech,lmfaoooo i hate black people  this is why theres black people and niggers
3,0,3,0,Offensive Language,how could u do this to me bitch potent
3,0,1,2,Neutral,a pissed lad past out i would lick his dirty soles while he slept
3,0,1,2,Neutral,love frat boy w soft long soles
3,0,1,2,Neutral,sexy lad with hot soles and arches
3,0,3,0,Offensive Language,nah fam i gotta cheat with the hoes depends on the female i feel
3,0,0,3,Neutral,i got hicks lol
3,1,2,0,Offensive Language,this new twitter is confusing the shit out of me go back to south america bitch
3,0,3,0,Offensive Language,toto means ass or vaginai think pussy cause toto santi is like nasty pussy
3,0,3,0,Offensive Language,but what if he actually does choose the ugly bitch over you her ass must be fat
3,0,3,0,Offensive Language,bitch couldnt kill my vibe if ya tried  dis why i love miley
3,0,3,0,Offensive Language,im tired of bitches saying i look mean  nigga you big af wear tight shirts and grim everybody
6,0,0,6,Neutral,birds your grandkids may never see thanks to climate change   climate
3,0,3,0,Offensive Language,stay beautiful you bitch
3,0,3,0,Offensive Language,"wutkinda

r purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls"
3,0,3,0,Offensive Language,money getting taller and bitches getting blurry
3,1,2,0,Offensive Language,i aint never seen a bitch so obsessed with they nigga im obsessed with mine
3,0,2,1,Offensive Language,kobe stay talking trash but lets not forget   i meant to do this one smh
3,2,1,0,Hate Speech,"at least im not a nigger 

lmfao"
3,0,3,0,Offensive Language,people always asking me what im mixed with she a bad asian bitch lol
3,2,1,0,Hate Speech,ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
3,0,1,2,Neutral,"fosters home for imaginary trash whoa chill

that show was everything tf"
6,0,5,1,Offensive Language,i am lowkey tired if you tired be quiet and go to sleep hoe
3,0,3,0,Offensive Language,stop bringing weird niggers into my mentions
3,0,3,0,Offensive Language,we dont love these hoes
3,0,3,0,Offensive Language,if yo girl cant have homeboys you a ol weak bitch ass nigga
3,0,3,0,Offensive Language,i think worst advice i gave you was  dont be a pussy and speed up lol
3,0,3,0,Offensive Language,quote this tweet with your favorite animalpussy
3,0,3,0,Offensive Language,i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper
3,0,3,0,Offensive Language,"andrewbryant poff has double vision after  beers
poff  double pussy  smh"
3,0,3,0,Offensive Language,"when bitches twerk on the computer

me in ya  in ya damn"
3,0,3,0,Offensive Language,prince this is art  nobody takin his bitch
3,0,1,2,Neutral,of welfaregovernment aid is claimed by white people so yall black slander is trash now
3,0,3,0,Offensive Language,these bitches dont care they just play that role
6,0,6,0,Offensive Language,"it took a while for you to find me but i was hiding in the lime tree
 dis bitch in da wrong tree bro"
6,3,2,1,Hate Speech,drakes new shoes that will be released by nikejordan yes theres glitter on the shoes  dudes a fag
3,0,1,2,Neutral,inna di ghetto you alone lmaoo
3,0,1,2,Neutral,hoes austin teach us austini teach u how to get curved thats all i know
3,1,2,0,Offensive Language,bitches cant cook but know how to suck dick  so to the ones that can do both
3,0,3,0,Offensive Language,fat hoes get chose lol
3,0,3,0,Offensive Language,hoesaintloyal well theyre hoesno one expects them to be loyal
3,0,3,0,Offensive Language,ol bitch ass
3,1,2,0,Offensive Language,bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
3,0,3,0,Offensive Language,just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
3,0,3,0,Offensive Language,"holy shit freddie highmore was in charlie and the chocolate factory
me rolls on the floor laughing"
3,1,2,0,Offensive Language,i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot
3,0,3,0,Offensive Language,one of your followers with this    somebody bitch if you dont
3,0,3,0,Offensive Language,if ya bitch always bitching clearly she care or just an annoying bitch
3,0,3,0,Offensive Language,these catfish hoes thinkin they slick but niggas catching on
3,0,3,0,Offensive Language,cant worry about a bitch that aint worried bout me real
3,0,3,0,Offensive Language,side hoes are for insecure niggas that cant handle a real one
3,0,3,0,Offensive Language,rt  lmao this bitch come scooting in the tent like she about to fuck some shit up
3,0,3,0,Offensive Language,my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers
3,0,3,0,Offensive Language,im hungry but ionn wanna spend my money on foodbroke hoe problems
6,0,6,0,Offensive Language,dese hoes be lyin to all of us nigga
3,0,3,0,Offensive Language,oh yeah fuck that bitch
3,0,1,2,Neutral,eli manning just threw his nflleading th interception of the season lmao trash
3,0,1,2,Neutral,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team   hes a bitch
3,0,3,0,Offensive Language,guess what i also have zero time for your mansplaining adios stfu pussy
3,0,1,2,Neutral,chilling   sexy scally lad
3,0,3,0,Offensive Language,i aint sharing no bitch if you mines you mines
3,0,3,0,Offensive Language,money only impress the simple broke bitches
3,0,2,1,Offensive Language,pisces will never be anybodys bitch they dont let people control or change them rigghhht
3,0,1,2,Neutral,tuku ho idk blah blah blah
3,0,1,2,Neutral,im not mad cuh hahaha suure tuku ho ita
3,0,3,0,Offensive Language,these hoes is crazy
3,0,3,0,Offensive Language,you aint ever gonna be a slice bitch kevin hart
3,0,3,0,Offensive Language,oomf so fuckin fine tho  dam  her dont be no bitch
3,1,2,0,Offensive Language,i wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags
3,0,3,0,Offensive Language,"newsatquestions
yeah bitch yeah bitch call me 
a maybe
b steveo
c later
d jesse pinkman"
3,0,3,0,Offensive Language,hickies in between her thighs right by her pussy gtgtgt its only right
3,0,3,0,Offensive Language,would you still love me when im no longer young and beautiful no ugly monkey ass
3,1,2,0,Offensive Language,yall come through the frontbitch i aint coming
3,1,2,0,Offensive Language,faggot bitch
3,0,3,0,Offensive Language,yea im on my ipad i dont work this friday lets ball this faggot up i work
3,0,1,2,Neutral,this scally lad would get it
3,2,1,0,Hate Speech,gerryshalloweenparty  halloween was yesterday stupid nigger
3,0,2,1,Offensive Language,chrus still supahot tho walks up to teacher with test drops test in that bitch fohead
3,0,3,0,Offensive Language,i love eating pussy lol i never get full lol i can eat that shit forever lol and ever
3,0,3,0,Offensive Language,no slushes hoes nasty anyway famthem hoes taste like meds
3,0,2,1,Offensive Language,no slushes hoes nasty anyway fam
3,1,2,0,Offensive Language,bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout
3,0,3,0,Offensive Language,yo bitch is gucci mane rt   my bitch a stoner
3,0,3,0,Offensive Language,i can ride your bitch with no handle bars
3,0,3,0,Offensive Language,and if you aint a hoe get up out my traphoussseeeee
3,0,0,3,Neutral,sad tv character deaths were still bitter over   stark was the man
3,0,3,0,Offensive Language,these harbor bitches are all party bus hoes lol all
3,0,3,0,Offensive Language,pussy love it
3,0,3,0,Offensive Language,"ultraviolence video its coming you little bitch mtvhottest lana del rey  

bitchy promo"
3,0,3,0,Offensive Language,"on my way to fuck your bitch 

lmfao kittycopter"
3,0,0,3,Neutral,a smuggler explains how he helped fighters along the jihadi highway
3,0,3,0,Offensive Language,aww their avis look so cute together    do i gotta get ike avi on this bitch
3,0,3,0,Offensive Language,its simple dont be a hoedont worry about being exposed  fight mewhy
3,0,3,0,Offensive Language,"whys this bitch boosting herself 

her size isnt exactly the most healthy tho"
3,0,3,0,Offensive Language,bet not be no bitches   kim bye
3,0,3,0,Offensive Language,damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
3,0,3,0,Offensive Language,im making marack my girlfriend   aye b you pullin hoes just like o taught you
3,1,2,0,Offensive Language,bruno fag boy you love me
3,0,3,0,Offensive Language,i must be a bitch you are  sike naw this why we always beefing
3,0,0,3,Neutral,down  yankees look to rally in the bottom of the th rallycap
3,0,3,0,Offensive Language,dont take advantage of a nice person hoes everyjuan
3,1,2,0,Offensive Language,happy birthday bitch nigga  thanks pal
3,0,3,0,Offensive Language,sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday
3,0,3,0,Offensive Language,cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
3,0,3,0,Offensive Language,ewww i said that last sundayas in the last sunday i was there read it again nigs
4,1,3,0,Offensive Language,i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
3,0,3,0,Offensive Language,my pussy still fresh lt something stank girls say
4,0,4,0,Offensive Language,ass slapping is one the greatest things haha  i slapped a girl on the ass  she got mad i aint get pussy for a week
3,0,3,0,Offensive Language,yeah texans are so much better you fucking retard i see that youre mad about this
3,1,2,0,Offensive Language,nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here
4,0,4,0,Offensive Language,theres a lane some bitches need to stay in  the left n get right the fuck outta our face
3,0,3,0,Offensive Language,i hate when boys deny that they have bitches  smh
3,1,2,0,Offensive Language,ya nigs out there still saying yall dont eat butt with a straight face
3,0,3,0,Offensive Language,im a boss ass bitch that needs to sit in a corner
3,0,3,0,Offensive Language,hes a hoe  i cant
3,0,3,0,Offensive Language,me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets
6,0,6,0,Offensive Language,bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story
3,1,2,0,Offensive Language,why do my friends hate me because you a ratchet hoe
3,1,2,0,Offensive Language,no love for these fuck niggas hoes
3,0,3,0,Offensive Language,hot meat  sexy as fuck scally lad i would love to meet him and his trainers
3,0,3,0,Offensive Language,sniff  perved up scally lad fuck yeah
3,0,3,0,Offensive Language,these bitches love sosa
4,0,3,1,Offensive Language,i legit watched it for about  or  seconds so did i wtf prob cause were retarded smh
3,0,3,0,Offensive Language,what should i name my cat ideas mr pussy
3,0,2,1,Offensive Language,woof woof sexy thug boy scally
3,0,3,0,Offensive Language,u see the damn phone ringing  when you married bitches makes demands you havent called me
3,0,3,0,Offensive Language,tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe
3,0,3,0,Offensive Language,sex positions   this what u call fucking the soul outta bitch
3,2,1,0,Hate Speech,is bored supposed to be cute you faggot sometimes
3,0,0,3,Neutral,one mans trash  is another mans treasure
3,0,3,0,Offensive Language,i dont got no type bad bitches is the only thing i like iongotnotype
3,2,1,0,Hate Speech,lassen cc  the coach wants me i feel it youll get more my nig no doubt
3,0,3,0,Offensive Language,"god teeth  gold chain
white bitches  cocaine"
3,1,2,0,Offensive Language,its me hoe its me hoe shhhhh
3,0,3,0,Offensive Language,in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe
3,0,3,0,Offensive Language,im gonna miss that bitch of a bus driverno you wont dont lie
3,0,3,0,Offensive Language,hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone  on my soul
3,0,1,2,Neutral,ashley young has tried to deny that bird s landed in his mouth gt   hahaha
3,0,3,0,Offensive Language,yall both gimped up aint tht a bitch huh lol
3,0,1,2,Neutral,take me for a ride   woof woof
3,1,2,0,Offensive Language,oh my god i love victoria mitchell all my bitches love me
3,0,3,0,Offensive Language,that long distance shit wack i knew the bitch was cheating uh oh
3,0,3,0,Offensive Language,hes doing it right   no bitches smh
3,0,3,0,Offensive Language,they ban dat pussy for life amp he gotta pay  millon dollar fine
3,1,2,0,Offensive Language,roses are red and violets are blue and niggers are black you know thats true
3,0,0,3,Neutral,sitting on my window sill window open bird tries to fly in smacked it protecttheanimals
3,0,3,0,Offensive Language,but a nigga gon be a nigga be a nigga you sound fuckin retarded
3,0,0,3,Neutral,a video an entire media will likely mock  i am such a crybaby
3,0,3,0,Offensive Language,"im not even shy stfu kikis mom hi angelique 
angelique smiles dips cracker in soup"
3,0,3,0,Offensive Language,tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh
3,0,3,0,Offensive Language,"karma is a bitch damn godprotectshisangels 

sips tea"
3,0,3,0,Offensive Language,fuckin hot gym pussy  fuck yeah
3,0,0,3,Neutral,jihadi patron hajjaj alajmi is arrested at kuwait airport
3,0,2,1,Offensive Language,you can call me fireman cause i turn the hoes on
3,0,3,0,Offensive Language,i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
3,0,3,0,Offensive Language,watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
3,0,3,0,Offensive Language,and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded
3,0,0,3,Neutral,tweety bird tho
3,0,3,0,Offensive Language,"my pussy sweet like watermelon 

thotermelon"
3,0,1,2,Neutral,when twitter rappers dm me their trash links
3,0,3,0,Offensive Language,loud bitches annoy me
4,0,4,0,Offensive Language,eventually every bitch turns into that hoe  truuu
3,0,3,0,Offensive Language,i swear if oomf try talking to me tomorrow   pussy
3,0,3,0,Offensive Language,you bitches be pretending to be tf crazy you aint never lied
4,0,3,1,Offensive Language,k bye hoe um bye
3,2,1,0,Hate Speech,jackies a retard blondeproblems at least i can make a grilled cheese
3,1,2,0,Offensive Language,ima keep on giving these pussy ass niggas ah reason to hate
3,0,0,3,Neutral,photo  he is in sole heaven
3,2,1,0,Hate Speech,stacey dash won   baddest bitch evaaaa
3,0,3,0,Offensive Language,side bitch sunday
3,0,3,0,Offensive Language,"facts what baldheaded bitch made this shit  

lmao"
3,0,3,0,Offensive Language,fuck wit us and then we tweakin hoe shmurda
3,0,0,3,Neutral,"we actin like its the th day  
spook"
3,0,3,0,Offensive Language,ill break that lil bitch neck and wont even feel sorry about it savage
3,0,3,0,Offensive Language,this is so fucking hot scally sneakersex sockfetish sniff trainersex  love me some kinky scallies
3,1,2,0,Offensive Language,yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too
3,0,3,0,Offensive Language,i can turn yo bitch into a eaterrrrrrrrr
3,0,3,0,Offensive Language,i dont trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
